,StationName,County,BeginGageServiceDate,EndGageServiceDate,TotalPrecipitation_inches,WaterYear,Notes_FlaggedResults,x_coord,y_coord,min_distance,wstation_x,wstation_y,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,year,temp_max_mean,temp_min_mean,temp_min_ann,temp_max_ann,temp_min_at_max_ann,temp_max_at_min_ann,temp_mean_ann,temp_mean_max,temp_mean_min,wind_speed_max_min,wind_speed_max_max,wind_speed_max_mean,wind_gusts_max_min,wind_gusts_max_max,wind_gusts_max_mean,precipitation_hours_sum,precipitation_hours_mean,evapotranspiration_min,evapotranspiration_max,evapotranspiration_mean
0,Ball Mountain,Tehama,9/3/2013,9/18/2014,12.75,2014,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2014,59.281643835616435,39.72958904109589,18.4,90.8,81.0,53.5,48.84438356164384,74.7,22.2,2.0,12.0,5.681917808219178,8.1,61.3,24.26027397260274,1146.0,3.1397260273972605,0.007,0.264,0.12236438356164382
365,Ball Mountain,Tehama,9/18/2014,9/8/2015,23.35,2015,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2015,59.05287671232877,39.39397260273972,15.2,88.5,81.0,53.5,48.52191780821918,74.8,20.9,1.8,15.3,5.456438356164384,7.8,67.8,23.544383561643837,952.0,2.6082191780821917,0.006,0.254,0.1221945205479452
730,Ball Mountain,Tehama,9/8/2015,9/7/2016,29.59,2016,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2016,56.8,37.76311475409836,12.3,90.8,81.0,53.5,46.69562841530054,76.9,18.7,1.9,12.5,5.7887978142076495,10.5,57.9,25.274863387978144,1348.0,3.6830601092896176,0.007,0.264,0.11615027322404373
1096,Ball Mountain,Tehama,9/7/2016,9/19/2017,44.47,2017,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2017,54.24054794520548,32.961643835616435,4.8,89.5,81.0,53.5,43.00383561643836,75.4,12.0,2.9,18.1,7.345479452054795,9.6,79.9,28.333972602739724,1575.0,4.315068493150685,0.006,0.284,0.11365479452054796
1461,Ball Mountain,Tehama,9/19/2017,8/30/2018,20.06,2018,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2018,55.489041095890414,32.71095890410959,-1.2,87.8,81.0,53.5,43.72958904109589,72.6,14.8,2.7,15.3,7.069589041095891,10.7,56.6,27.067671232876716,1113.0,3.0493150684931507,0.007,0.274,0.12018904109589042
1826,Ball Mountain,Tehama,8/30/2018,9/23/2019,46.48,2019,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2019,52.860547945205475,31.93972602739726,4.6,86.5,81.0,53.5,41.941095890410956,69.9,12.1,2.9,16.2,7.083561643835616,11.2,67.3,27.62876712328767,1448.0,3.967123287671233,0.007,0.256,0.11213150684931505
2191,Ball Mountain,Tehama,9/24/2019,9/27/2020,13.46,2020,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2020,56.57158469945355,33.54071038251366,4.9,88.6,81.0,53.5,44.67431693989071,74.2,14.9,2.7,15.3,7.26775956284153,9.6,57.7,27.16857923497268,880.0,2.4043715846994536,0.008,0.272,0.12318852459016394
2557,Ball Mountain,Tehama,9/27/2020,8/18/2021,9.34,2021,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2021,56.164931506849314,33.42054794520548,-1.5,90.7,81.0,53.5,44.39972602739726,75.8,11.9,2.9,17.4,7.232876712328767,10.1,68.9,27.358082191780824,1077.0,2.9506849315068493,0.005,0.287,0.12616712328767124
2922,Ball Mountain,Tehama,8/18/2021,9/9/2022,16.51,2022,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2022,54.23397260273973,32.27726027397261,-0.7,91.6,81.0,53.5,42.683287671232875,77.5,14.0,3.1,15.3,6.876164383561644,8.9,61.1,24.605205479452053,938.0,2.56986301369863,0.005,0.265,0.11673972602739725
3287,Ball Mountain,Tehama,9/9/2022,9/14/2023,48.24,2023,,-122.7809112,39.93636855,0.023926875777742756,-122.93295,39.964848,39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8,2023,51.92164383561644,31.70164383561644,3.8,89.8,81.0,53.5,41.28602739726027,74.1,12.1,2.9,13.9,7.294794520547945,11.0,55.0,25.491232876712328,1476.0,4.043835616438356,0.006,0.276,0.10823013698630136
