latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.45694,-120.21156,2025.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,39.8,24.5,30.6,0.0,5.1,13.2,0.042
2014-01-02,37.4,23.4,29.5,0.0,3.1,8.1,0.036
2014-01-03,47.7,22.6,32.6,0.0,7.2,17.4,0.050
2014-01-04,32.4,19.8,25.5,0.0,5.3,13.2,0.036
2014-01-05,31.7,15.3,22.7,0.0,9.3,20.8,0.042
2014-01-06,31.6,20.0,24.5,1.0,4.6,13.0,0.032
2014-01-07,40.7,20.5,28.3,0.0,6.0,14.3,0.039
2014-01-08,38.0,22.5,27.6,1.0,7.2,18.1,0.030
2014-01-09,37.6,22.3,28.4,0.0,11.9,24.6,0.029
2014-01-10,42.5,20.7,29.5,0.0,5.9,16.3,0.034
2014-01-11,34.0,22.7,28.0,12.0,16.3,43.2,0.021
2014-01-12,35.0,20.1,26.5,0.0,9.8,23.7,0.035
2014-01-13,39.4,20.8,28.8,0.0,4.1,9.6,0.042
2014-01-14,40.0,23.6,30.0,0.0,4.3,9.6,0.042
2014-01-15,40.1,23.5,30.4,0.0,3.7,9.2,0.044
2014-01-16,37.8,22.7,28.8,0.0,4.9,13.2,0.046
2014-01-17,38.6,22.9,30.0,0.0,4.5,12.5,0.050
2014-01-18,39.3,23.6,30.4,0.0,5.3,14.3,0.051
2014-01-19,42.1,23.3,31.5,0.0,2.8,8.9,0.044
2014-01-20,40.0,24.3,30.5,0.0,5.6,15.0,0.051
2014-01-21,39.9,22.4,30.1,0.0,3.4,9.8,0.046
2014-01-22,45.3,20.8,31.4,0.0,7.5,19.0,0.063
2014-01-23,36.2,20.6,27.6,0.0,15.7,34.7,0.058
2014-01-24,41.3,23.2,31.5,0.0,14.2,31.8,0.063
2014-01-25,40.7,26.3,32.5,0.0,4.6,12.8,0.055
2014-01-26,43.8,25.3,33.5,0.0,4.0,9.4,0.056
2014-01-27,46.7,25.4,34.7,0.0,4.4,10.5,0.047
2014-01-28,46.1,29.3,36.5,1.0,6.3,15.4,0.045
2014-01-29,42.5,28.8,34.5,9.0,13.5,35.8,0.017
2014-01-30,34.8,25.0,28.6,8.0,6.7,15.9,0.034
2014-01-31,30.0,18.9,24.5,1.0,9.1,21.0,0.043
2014-02-01,31.7,18.3,23.6,0.0,6.9,17.2,0.050
2014-02-02,30.6,17.3,23.3,0.0,6.0,15.9,0.044
2014-02-03,31.9,16.6,23.2,0.0,10.3,23.5,0.042
2014-02-04,32.6,18.2,23.7,0.0,7.3,15.9,0.049
2014-02-05,36.1,17.0,24.0,0.0,10.7,23.9,0.050
2014-02-06,30.8,20.2,25.3,9.0,11.3,26.4,0.029
2014-02-07,30.9,26.0,27.8,16.0,17.1,38.7,0.027
2014-02-08,31.8,29.1,30.5,9.0,15.2,37.8,0.014
2014-02-09,38.9,30.8,33.6,18.0,8.5,26.6,0.023
2014-02-10,41.4,24.7,32.1,6.0,4.2,16.6,0.055
2014-02-11,42.5,20.7,30.3,1.0,4.9,13.6,0.052
2014-02-12,45.4,24.1,32.6,1.0,11.5,28.9,0.063
2014-02-13,43.0,28.8,34.7,14.0,11.0,25.1,0.033
2014-02-14,45.7,29.8,37.0,0.0,14.7,34.4,0.044
2014-02-15,46.9,25.0,35.1,5.0,19.9,40.7,0.059
2014-02-16,40.9,24.2,32.1,5.0,12.7,31.8,0.059
2014-02-17,43.0,20.9,29.9,0.0,13.7,29.1,0.069
2014-02-18,44.8,21.0,30.8,0.0,12.7,26.8,0.064
2014-02-19,38.9,25.7,30.4,6.0,12.9,30.9,0.066
2014-02-20,42.4,24.1,32.1,0.0,6.3,13.9,0.073
2014-02-21,42.2,26.4,33.5,0.0,4.3,11.2,0.067
2014-02-22,45.4,26.6,35.2,0.0,4.9,11.6,0.080
2014-02-23,49.7,26.6,36.1,0.0,7.9,17.2,0.087
2014-02-24,51.6,28.1,38.8,0.0,4.2,11.6,0.084
2014-02-25,53.4,28.0,39.7,0.0,7.6,18.1,0.092
2014-02-26,43.4,29.2,35.6,11.0,12.6,36.7,0.041
2014-02-27,37.1,27.4,31.1,11.0,16.6,38.3,0.040
2014-02-28,38.0,25.5,30.1,11.0,17.2,35.3,0.035
2014-03-01,39.4,25.4,31.9,4.0,9.6,20.6,0.053
2014-03-02,37.0,28.1,32.4,0.0,15.5,32.2,0.031
2014-03-03,38.8,29.2,33.2,16.0,12.8,28.0,0.036
2014-03-04,44.4,28.1,35.0,3.0,6.0,13.6,0.062
2014-03-05,47.0,25.4,35.6,6.0,13.9,42.7,0.058
2014-03-06,40.0,28.3,34.3,9.0,16.5,41.8,0.058
2014-03-07,42.6,25.0,33.1,0.0,6.3,17.0,0.081
2014-03-08,51.2,28.7,38.5,0.0,8.4,19.2,0.089
2014-03-09,47.8,31.7,38.2,17.0,10.2,26.8,0.057
2014-03-10,39.8,25.8,33.6,13.0,15.5,31.8,0.069
2014-03-11,36.4,19.9,28.5,0.0,14.8,33.3,0.081
2014-03-12,43.4,22.5,33.0,0.0,11.5,26.4,0.094
